data,LOCAL,BAIRRO,ESPECIE,cirurgia_realizada
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,felino_f,nao
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,felino_f,sim
2024-02-19,piedade,piedade,felino_m,sim
2024-02-19,piedade,piedade,felino_f,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,canino_f,sim
2024-02-19,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,cavalcanti,felino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,felino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,felino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,quintino,canino_f,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,quintino,felino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_f,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,piedade,canino_m,sim
2024-02-20,piedade,cavalcanti,felino_f,sim
2024-02-20,antares,antares,canino_f,sim
2024-02-20,antares,santa cruz,canino_m,sim
2024-02-20,antares,santa cruz,felino_f,sim
2024-02-20,antares,santa cruz,felino_m,sim
2024-02-20,antares,antares,felino_m,sim
2024-02-20,antares,santa cruz,felino_m,sim
2024-02-20,antares,santa cruz,felino_f,sim
2024-02-20,antares,antares,felino_f,sim
2024-02-20,antares,paciencia,felino_m,sim
2024-02-20,antares,santa cruz,felino_f,sim
2024-02-20,antares,antares,felino_m,nao
2024-02-20,antares,antares,canino_f,nao
2024-02-20,antares,santa cruz,canino_m,nao
2024-02-20,antares,santa cruz,canino_f,nao
2024-02-20,antares,santa cruz,felino_f,nao
2024-02-20,antares,santa cruz,canino_m,nao
2024-02-20,antares,santa cruz,canino_f,nao
2024-02-20,antares,antares,felino_m,nao
2024-02-20,antares,santa cruz,felino_m,nao
2024-02-20,antares,santa cruz,felino_m,nao
2024-02-20,antares,antares,felino_m,nao
2024-02-21,piedade,abolicao,canino_f,sim
2024-02-21,piedade,piedade,canino_f,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,tomas coelho,felino_f,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,felino_f,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,piedade,quintino,felino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,cavalcanti,felino_f,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,felino_f,sim
2024-02-21,piedade,cavalcanti,canino_m,sim
2024-02-21,piedade,tomas coelho,canino_m,sim
2024-02-21,piedade,piedade,canino_f,sim
2024-02-21,piedade,quintino,canino_m,sim
2024-02-21,piedade,quintino,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,tomas coelho,felino_f,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,cavalcanti,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,piedade,canino_f,sim
2024-02-21,piedade,piedade,canino_f,sim
2024-02-21,piedade,cascadura,felino_m,sim
2024-02-21,piedade,cachambi,canino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,canino_m,sim
2024-02-21,piedade,engenho de dentro,felino_f,sim
2024-02-21,piedade,piedade,felino_f,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,pilares,felino_m,sim
2024-02-21,piedade,piedade,felino_f,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_m,sim
2024-02-21,piedade,piedade,felino_f,sim
2024-02-21,antares,santa cruz,canino_m,nao
2024-02-21,antares,santa cruz,felino_f,nao
2024-02-21,antares,santa cruz,canino_f,nao
2024-02-21,antares,santa cruz,canino_m,nao
2024-02-21,antares,antares,canino_f,nao
2024-02-21,antares,antares,felino_f,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,canino_f,sim
2024-02-21,antares,santa cruz,canino_m,sim
2024-02-21,antares,santa cruz,canino_m,sim
2024-02-21,antares,santa cruz,felino_f,sim
2024-02-21,antares,pantanal,felino_f,sim
2024-02-21,antares,santa cruz,felino_f,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,felino_m,sim
2024-02-21,antares,santa cruz,canino_f,nao
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,cavalcanti,canino_f,sim
2024-02-22,piedade,cavalcanti,canino_f,sim
2024-02-22,piedade,cavalcanti,felino_m,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,antares,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,engenho de dentro,felino_f,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,cascadura,canino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,tomas coelho,felino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,tomas coelho,felino_m,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,tomas coelho,felino_m,sim
2024-02-22,piedade,tomas coelho,felino_m,sim
2024-02-22,piedade,cavalcanti,felino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,cascadura,canino_f,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,antares,santa cruz,canino_m,nao
2024-02-22,antares,santa cruz,canino_f,nao
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,pilares,canino_m,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,quintino,canino_f,sim
2024-02-22,piedade,quintino,canino_m,sim
2024-02-22,antares,santa cruz,felino_m,nao
2024-02-22,piedade,cavalcanti,canino_m,sim
2024-02-22,antares,santa cruz,canino_m,nao
2024-02-22,piedade,antares,canino_f,nao
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,marechal hermes,canino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,piedade,tomas coelho,canino_m,sim
2024-02-22,piedade,piedade,felino_m,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,tomas coelho,felino_m,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,bento ribeiro,canino_f,sim
2024-02-22,piedade,tomas coelho,felino_f,sim
2024-02-22,piedade,tomas coelho,felino_f,sim
2024-02-22,piedade,cascadura,felino_m,sim
2024-02-22,piedade,piedade,canino_m,sim
2024-02-22,piedade,piedade,felino_f,sim
2024-02-22,piedade,piedade,canino_f,sim
2024-02-22,antares,santa cruz,canino_f,nao
2024-02-22,antares,santa cruz,felino_m,nao
2024-02-22,antares,santa cruz,felino_m,nao
2024-02-22,antares,santa cruz,felino_m,nao
2024-02-22,antares,santa cruz,felino_m,nao
2024-02-22,antares,antares,felino_m,nao
2024-02-22,antares,santa cruz,felino_f,nao
2024-02-22,antares,santa cruz,canino_f,sim
2024-02-22,antares,santa cruz,canino_f,sim
2024-02-22,antares,santa cruz,canino_f,sim
2024-02-22,antares,santa cruz,canino_f,sim
2024-02-22,antares,santa cruz,canino_m,sim
2024-02-22,antares,santa cruz,felino_f,sim
2024-02-22,antares,santa cruz,felino_f,sim
2024-02-22,antares,santa cruz,felino_m,sim
2024-02-22,antares,antares,felino_m,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,tomas coelho,felino_f,sim
2024-02-23,piedade,piedade,canino_m,sim
2024-02-23,piedade,piedade,felino_m,sim
2024-02-23,piedade,pilares,felino_m,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,pilares,felino_m,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,abolicao,felino_m,sim
2024-02-23,piedade,cascadura,canino_m,sim
2024-02-23,piedade,piedade,canino_f,nao
2024-02-23,piedade,piedade,canino_m,sim
2024-02-23,piedade,piedade,felino_m,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,pilares,felino_m,sim
2024-02-23,piedade,pilares,canino_m,sim
2024-02-23,piedade,piedade,felino_m,sim
2024-02-23,piedade,piedade,felino_m,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,cascadura,felino_m,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,cosmos,felino_m,sim
2024-02-23,piedade,piedade,canino_f,sim
2024-02-23,piedade,quintino,felino_f,sim
2024-02-23,piedade,guadalupe,felino_m,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_f,sim
2024-02-23,piedade,piedade,felino_m,sim
2024-02-23,piedade,cascadura,felino_m,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,piedade,canino_m,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,abolicao,felino_m,sim
2024-02-26,piedade,guadalupe,felino_m,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,piedade,canino_m,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,quintino,canino_m,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,abolicao,felino_m,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,quintino,felino_f,sim
2024-02-26,piedade,cavalcanti,canino_f,sim
2024-02-26,piedade,quintino,canino_f,sim
2024-02-26,piedade,cascadura,canino_m,sim
2024-02-26,piedade,quintino,canino_f,sim
2024-02-26,piedade,piedade,canino_m,sim
2024-02-26,piedade,abolicao,felino_f,sim
2024-02-26,piedade,guadalupe,felino_m,sim
2024-02-26,piedade,abolicao,felino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,quintino,canino_m,sim
2024-02-26,piedade,tomas coelho,canino_f,sim
2024-02-26,piedade,tomas coelho,canino_f,sim
2024-02-26,piedade,piedade,canino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,guadalupe,felino_m,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,cavalcanti,felino_f,sim
2024-02-26,piedade,piedade,felino_m,sim
2024-02-26,piedade,abolicao,felino_m,sim
2024-02-26,piedade,piedade,canino_m,sim
2024-02-26,piedade,deodoro,felino_f,sim
2024-02-26,piedade,abolicao,felino_m,sim
2024-02-26,piedade,quintino,felino_m,sim
2024-02-26,piedade,cascadura,felino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-26,piedade,piedade,felino_f,sim
2024-02-23,antares,santa cruz,canino_m,nao
2024-02-23,antares,santa cruz,felino_m,nao
2024-02-23,antares,santa cruz,canino_f,nao
2024-02-23,antares,santa cruz,felino_m,nao
2024-02-23,antares,santa cruz,felino_m,nao
2024-02-23,antares,santa cruz,canino_f,nao
2024-02-23,antares,santa cruz,canino_f,sim
2024-02-23,antares,santa cruz,canino_f,sim
2024-02-23,antares,santa cruz,felino_f,sim
2024-02-23,antares,santa cruz,felino_m,sim
2024-02-23,antares,santa cruz,felino_f,sim
2024-02-23,antares,santa cruz,felino_f,sim
2024-02-23,antares,santa cruz,felino_f,nao
2024-02-23,antares,santa cruz,felino_f,sim
2024-02-23,antares,santa cruz,canino_f,sim
2024-02-23,antares,santa cruz,felino_m,sim
2024-02-23,antares,santa cruz,canino_f,sim
2024-02-27,antares,santa cruz,canino_f,nao
2024-02-27,antares,santa cruz,canino_f,nao
2024-02-27,antares,santa cruz,canino_m,nao
2024-02-27,antares,antares,canino_f,nao
2024-02-27,antares,santo cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_m,sim
2024-02-27,antares,santa cruz,canino_f,sim
2024-02-27,antares,santa cruz,canino_f,sim
2024-02-27,antares,santa cruz,canino_m,sim
2024-02-27,antares,santa cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_f,sim
2024-02-27,antares,santa cruz,felino_m,sim
2024-02-27,antares,santa cruz,canino_f,nao
2024-02-27,antares,santa cruz,felino_m,nao
2024-02-28,antares,santa cruz,felino_m,nao
2024-02-28,antares,santa cruz,canino_m,nao
2024-02-28,antares,antares,felino_f,nao
2024-02-28,antares,antares,canino_f,nao
2024-02-28,antares,antares,canino_f,nao
2024-02-28,antares,antares,felino_f,nao
2024-02-28,antares,santa cruz,felino_f,nao
2024-02-28,antares,santa cruz,felino_f,nao
2024-02-28,antares,santa cruz,canino_f,nao
2024-02-28,antares,santa cruz,canino_f,sim
2024-02-28,antares,santa cruz,canino_f,sim
2024-02-28,antares,santa cruz,canino_f,nao
2024-02-28,antares,santa cruz,canino_m,sim
2024-02-28,antares,santa cruz,felino_m,sim
2024-02-28,antares,santa cruz,felino_f,sim
2024-02-28,antares,santa cruz,canino_m,sim
2024-02-28,antares,santa cruz,felino_m,sim
2024-02-29,antares,santa cruz,felino_f,nao
2024-02-29,antares,santa cruz,felino_m,nao
2024-02-29,antares,santa cruz,canino_m,nao
2024-02-29,antares,santa cruz,canino_m,nao
2024-02-29,antares,antares,canino_m,nao
2024-02-29,antares,antares,canino_m,nao
2024-02-29,antares,santa cruz,felino_f,nao
2024-02-29,antares,antares,felino_m,nao
2024-02-29,antares,antares,felino_f,nao
2024-02-29,antares,santa cruz,canino_f,sim
2024-02-29,antares,santa cruz,canino_f,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-02-29,antares,santa cruz,felino_m,sim
2024-02-29,antares,santa cruz,canino_m,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-02-29,antares,santa cruz,felino_f,sim
2024-03-01,piedade,piedade,canino_m,nao
2024-03-01,piedade,piedade,felino_f,nao
2024-03-01,piedade,piedade,felino_f,nao
2024-03-01,antares,santa cruz,canino_m,nao
2024-03-01,antares,antares,canino_f,nao
2024-03-01,antares,santa cruz,felino_m,nao
2024-03-01,antares,antares,felino_m,nao
2024-03-01,antares,antares,canino_f,nao
2024-03-01,antares,santa cruz,felino_f,nao
2024-03-01,antares,santa cruz,felino_f,nao
2024-03-01,antares,santa cruz,canino_m,nao
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-01,antares,santa cruz,felino_m,sim
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,canino_f,sim
2024-03-01,antares,santa cruz,felino_m,sim
2024-03-01,antares,santa cruz,felino_f,sim
2024-03-04,antares,santa cruz,felino_m,nao
2024-03-04,antares,santa cruz,felino_f,nao
2024-03-04,antares,santa cruz,canino_f,nao
2024-03-04,antares,antares,felino_f,nao
2024-03-04,antares,santa cruz,canino_f,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,antares,canino_m,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,antares,canino_f,nao
2024-03-04,antares,santa cruz,felino_f,nao
2024-03-04,antares,antares,felino_m,nao
2024-03-04,antares,santa cruz,felino_m,nao
2024-03-04,antares,santa cruz,canino_f,sim
2024-03-04,antares,santa cruz,canino_f,sim
2024-03-04,antares,santa cruz,felino_f,sim
2024-03-04,antares,santa cruz,felino_m,sim
2024-03-05,antares,santa cruz,felino_m,nao
2024-03-05,antares,antares,felino_f,nao
2024-03-05,antares,santa cruz,canino_m,nao
2024-03-05,antares,santa cruz,felino_f,nao
2024-03-05,antares,santa cruz,felino_m,nao
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,canino_f,sim
2024-03-05,antares,santa cruz,canino_m,sim
2024-03-05,antares,santa cruz,canino_m,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,felino_f,sim
2024-03-05,antares,santa cruz,felino_m,sim
2024-03-05,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,canino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,canino_f,sim
2024-03-06,antares,santa cruz,canino_f,sim
2024-03-06,antares,santa cruz,felino_m,sim
2024-03-06,antares,bento ribeiro,canino_f,sim
2024-03-06,antares,santa cruz,felino_m,sim
2024-03-06,antares,santa cruz,canino_m,nao
2024-03-06,antares,santa cruz,felino_f,sim
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,felino_f,nao
2024-03-06,antares,santa cruz,felino_f,sim
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,canino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,felino_f,nao
2024-03-07,antares,santa cruz,canino_m,nao
2024-03-07,antares,santa cruz,felino_m,nao
2024-03-07,antares,santa cruz,canino_f,sim
2024-03-07,antares,santa cruz,felino_f,sim
2024-03-07,antares,santa cruz,canino_m,nao
2024-03-07,antares,santa cruz,canino_m,sim
2024-03-07,antares,santa cruz,felino_f,sim
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_f,nao
2024-03-08,antares,santa cruz,felino_m,sim
2024-03-08,antares,santa cruz,felino_m,nao
2024-03-08,antares,santa cruz,canino_f,nao
2024-03-08,antares,santa cruz,canino_m,nao
2024-03-08,antares,santa cruz,canino_m,nao
2024-03-08,antares,santa cruz,canino_m,sim
2024-03-08,antares,santa cruz,felino_m,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-08,antares,santa cruz,canino_f,sim
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,antares,santa cruz,felino_m,nao
2024-03-11,antares,santa cruz,felino_f,nao
2024-03-11,antares,antares,canino_m,nao
2024-03-11,antares,sepetiba,canino_f,nao
2024-03-11,antares,santa cruz,canino_f,nao
2024-03-11,piedade,piedade,felino_m,nao
2024-03-11,piedade,cascadura,canino_f,nao
2024-03-11,piedade,piedade,canino_m,nao
2024-03-11,piedade,cascadura,canino_f,nao
2024-03-11,piedade,piedade,canino_f,nao
2024-03-11,piedade,cascadura,felino_m,nao
